year,home,away,p_home,p_draw,p_away,outcome,pred,stage
2010,Portugal,North Korea,0.669,0.21,0.121,0,0,Gironi
2010,Spain,Honduras,0.733,0.178,0.088,0,0,Gironi
2010,Chile,Switzerland,0.456,0.279,0.265,0,0,Gironi
2010,Greece,Argentina,0.146,0.228,0.626,2,2,Gironi
2010,Mexico,Uruguay,0.422,0.284,0.294,2,0,Gironi
2010,Nigeria,South Korea,0.271,0.28,0.449,1,2,Gironi
2010,South Africa,France,0.186,0.252,0.562,0,2,Gironi
2010,Ghana,Germany,0.189,0.253,0.558,2,2,Gironi
2010,Australia,Serbia,0.306,0.285,0.408,0,2,Gironi
2010,United States,Algeria,0.607,0.236,0.158,0,0,Gironi
2010,Slovenia,England,0.138,0.223,0.639,2,2,Gironi
2010,Cameroon,Netherlands,0.071,0.158,0.771,2,2,Gironi
2010,Denmark,Japan,0.36,0.288,0.352,2,0,Gironi
2010,Paraguay,New Zealand,0.516,0.265,0.218,1,0,Gironi
2010,Slovakia,Italy,0.126,0.214,0.66,0,2,Gironi
2010,Portugal,Brazil,0.154,0.234,0.612,1,2,Gironi
2010,Switzerland,Honduras,0.442,0.281,0.277,1,0,Gironi
2010,North Korea,Ivory Coast,0.155,0.234,0.61,2,2,Gironi
2010,Chile,Spain,0.213,0.263,0.524,2,2,Gironi
2010,Uruguay,South Korea,0.488,0.272,0.24,0,0,Ottavi
2010,United States,Ghana,0.451,0.28,0.27,2,0,Ottavi
2010,Argentina,Mexico,0.439,0.282,0.28,0,0,Ottavi
2010,Germany,England,0.346,0.288,0.366,0,2,Ottavi
2010,Brazil,Chile,0.57,0.249,0.181,0,0,Ottavi
2010,Netherlands,Slovakia,0.788,0.148,0.064,0,0,Ottavi
2010,Paraguay,Japan,0.333,0.288,0.379,1,2,Ottavi
2010,Spain,Portugal,0.57,0.249,0.181,0,0,Ottavi
2010,Netherlands,Brazil,0.309,0.286,0.405,0,2,Quarti
2010,Uruguay,Ghana,0.519,0.265,0.217,1,0,Quarti
2010,Argentina,Germany,0.348,0.288,0.364,2,2,Quarti
2010,Paraguay,Spain,0.1,0.191,0.709,2,2,Quarti
2010,Uruguay,Netherlands,0.179,0.248,0.573,2,2,Semifinali
2010,Germany,Spain,0.312,0.286,0.402,2,2,Semifinali
